Date,Open,High,Low,Close,Adj Close,Volume
2019-09-04,37.799999,37.950001,37.450001,37.700001,37.700001,711900
2019-09-05,38.389999,39.169998,38.139999,38.790001,38.790001,769600
2019-09-06,38.709999,39.119999,38.349998,38.439999,38.439999,958500
2019-09-09,38.680000,40.000000,38.410000,39.980000,39.980000,944300
2019-09-10,39.939999,41.119999,39.840000,41.060001,41.060001,711400
2019-09-11,41.070000,41.369999,40.020000,40.939999,40.939999,925700
2019-09-12,40.520000,40.990002,39.910000,40.759998,40.759998,836300
2019-09-13,41.439999,41.439999,40.320000,41.090000,41.090000,785600
2019-09-16,40.450001,40.970001,40.000000,40.689999,40.689999,412600
2019-09-17,40.270000,40.290001,39.580002,39.970001,39.970001,642200
2019-09-18,39.599998,40.290001,39.270000,40.209999,40.209999,883600
2019-09-19,40.360001,40.799999,39.919998,39.980000,39.980000,539600
2019-09-20,39.970001,40.259998,39.430000,39.689999,39.689999,2178300
2019-09-23,39.259998,40.020000,38.779999,39.540001,39.540001,924800
2019-09-24,39.470001,39.849998,38.320000,38.450001,38.450001,955400
2019-09-25,38.459999,39.540001,38.099998,39.340000,39.340000,1159900
2019-09-26,39.240002,39.509998,38.240002,38.470001,38.470001,851900
2019-09-27,38.830002,39.360001,37.910000,38.029999,38.029999,798500
2019-09-30,38.209999,38.419998,37.869999,38.070000,38.070000,563800
2019-10-01,38.259998,38.680000,36.599998,36.939999,36.939999,1073800
2019-10-02,36.599998,36.990002,36.340000,36.880001,36.880001,1055600
2019-10-03,36.889999,36.970001,36.049999,36.799999,36.799999,1582400
2019-10-04,36.830002,37.410000,36.369999,37.360001,37.360001,599700
2019-10-07,37.259998,37.650002,37.200001,37.270000,37.270000,654400
2019-10-08,36.660000,37.180000,36.220001,36.330002,36.330002,763700
2019-10-09,36.619999,36.880001,36.290001,36.430000,36.430000,621100
2019-10-10,36.630001,37.049999,36.380001,36.630001,36.630001,621300
2019-10-11,37.509998,38.130001,37.320000,37.360001,37.360001,1171300
2019-10-14,36.980000,37.180000,36.730000,36.869999,36.869999,499600
2019-10-15,36.970001,37.529999,36.500000,37.270000,37.270000,513400
2019-10-16,37.130001,37.599998,36.630001,36.869999,36.869999,577900
2019-10-17,37.009998,37.009998,36.369999,36.770000,36.770000,790700
2019-10-18,36.650002,36.869999,36.400002,36.750000,36.750000,799500
2019-10-21,37.209999,37.630001,36.959999,37.439999,37.439999,739300
2019-10-22,37.230000,38.610001,36.459999,38.040001,38.040001,808700
2019-10-23,38.040001,38.369999,37.619999,37.830002,37.830002,475300
2019-10-24,37.950001,37.950001,37.060001,37.700001,37.700001,754100
2019-10-25,37.529999,38.730000,37.529999,38.299999,38.299999,1210500
